한글이름	도메인이름	응답	판정	간곳
삼성생명	samsunglife	302	쓴다	/web/
한화생명	hanwhalife	302	쓴다	/event/2026/index.php
신한라이프	shinhanlife	200	쓴다	
교보생명	kyobo	000	안쓴다	
흥국생명	heungkuk	000	안쓴다	
미래에셋생명	miraeasset	000	안쓴다	
KDB생명	kdblife	000	안쓴다	
DB생명	dblife	000	안쓴다	
NH농협생명	nhlife	000	안쓴다	
ABL생명	abllife	000	안쓴다	
동양생명	myangel	000	안쓴다	
메트라이프	metlife	000	안쓴다	
푸르덴셜	prudential	000	안쓴다	
처브라이프	chubblife	000	안쓴다	
라이나	lina	000	안쓴다	
하나생명	hanalife	000	안쓴다	
KB라이프	kblife	000	안쓴다	
IBK연금	ibkinsurance	000	안쓴다	
푸본현대생명	fubonhyundai	000	안쓴다	
카디프	cardif	000	안쓴다	
삼성화재	samsungfire	000	안쓴다	
현대해상	hi	000	안쓴다	
KB손해보험	kbinsure	000	안쓴다	
DB손해보험	dbins	000	안쓴다	
메리츠화재	meritzfire	000	안쓴다	
한화손보	hwgeneralins	000	안쓴다	
흥국화재	heungkukfire	000	안쓴다	
롯데손보	lotteins	000	안쓴다	
MG손보	mggeneralins	000	안쓴다	
악사손보	axa	000	안쓴다	
캐롯손보	carrotins	000	안쓴다	
삼성카드	samsungcard	000	안쓴다	
신한카드	shinhancard	302	쓴다	/mobile/
KB국민카드	kbcard	000	안쓴다	
현대카드	hyundaicard	000	안쓴다	
롯데카드	lottecard	000	안쓴다	
하나카드	hanacard	000	안쓴다	
우리카드	wooricard	000	안쓴다	
BC카드	bccard	000	안쓴다	
NH농협카드	nhcard	000	안쓴다	
KB국민은행	kbstar	302	쓴다	/mobile/
신한은행	shinhan	000	안쓴다	
우리은행	wooribank	302	쓴다	/mobile/
하나은행	hanabank	000	안쓴다	
NH농협은행	nhbank	000	안쓴다	
IBK기업은행	ibk	000	안쓴다	
케이뱅크	kbanknow	000	안쓴다	
카카오뱅크	kakaobank	000	안쓴다	
토스뱅크	tossbank	000	안쓴다	
SK텔레콤	skt	000	안쓴다	
KT	kt	000	안쓴다	
LG유플러스	lguplus	000	안쓴다	
SK브로드밴드	skbroadband	000	안쓴다	
네이버	naver	000	안쓴다	
카카오	kakao	000	안쓴다	
쿠팡	coupang	000	안쓴다	
11번가	11st	000	안쓴다	
G마켓	gmarket	000	안쓴다	
옥션	auction	000	안쓴다	
SSG	ssg	000	안쓴다	
롯데온	lotteon	000	안쓴다	
인터파크	interpark	000	안쓴다	
티몬	tmon	000	안쓴다	
위메프	wemakeprice	000	안쓴다	
GS샵	gsshop	000	안쓴다	
현대홈쇼핑	hyundaihmall	000	안쓴다	
CJ온스타일	cjonstyle	000	안쓴다	
대한항공	koreanair	000	안쓴다	
아시아나	flyasiana	000	안쓴다	
하나투어	hanatour	000	안쓴다	
모두투어	modetour	000	안쓴다	
야놀자	yanolja	000	안쓴다	
여기어때	goodchoice	000	안쓴다	
미래에셋증권	miraeassetsec	000	안쓴다	
NH투자증권	nhqv	000	안쓴다	
삼성증권	samsungpop	000	안쓴다	
한국투자증권	truefriend	000	안쓴다	
키움증권	kiwoom	000	안쓴다	
