# 기계가 읽는 라이선스 대장 — `archive/raw/<폴더>` 마다 «판정»이 있어야 한다
#
# 🔴 왜 만드나 (2026-09-09 21:0x · 5번)
#   사장님: 「재배포 조건이 없으면 배포해도 되겠지. 더구나 증권거래소는 준공공기관이니까」
#   ⇒ 재 보니 KRX OPEN API 약관은 「비상업적인 목적으로만」(제6조②)이었다.
#     그런데 그 값이 팔 상품(People Panel)에 들어가 있었다.
#   ⛔ 까닭은 하나다 — **KRX 가 `docs/데이터-라이선스-대장.md` 에 아예 없었다.**
#     대장의 판정 기준(🟢🟡🔴⬜)은 튼튼한데, 새 출처가 «등재 없이» 수집기만 생겼다.
#   ⇒ 그래서 「모으는 것은 전부 대장에 있어야 한다」를 검사로 둔다.
#     사람이 기억해서 등재하는 구조를 만들지 않는다(강령 ④).
#
# 판정
#   🟢 판매 가능   상업 이용·변형 허용 (출처 표시 조건은 지킨다)
#   🟡 발행만     상업 이용은 되나 원본·표 재배포 제한 — 기사엔 쓰고 파일로 안 판다
#   🔴 못 쓴다     상업 이용 금지 — ⚠ 그래도 모으고 있다면 「왜」를 근거 칸에 적어야 한다
#   ⬜ 미확인      아직 안 봤다. ⛔ 검사가 이것을 «센다». 0 이 목표다
#
# 꼴 — 탭으로 가른다
# 폴더<TAB>출처<TAB>판정<TAB>근거(어디서 봤나 · 날짜)
#
# ⛔ 판정을 «지어내지 않는다». 대장 md 나 약관에서 읽은 것만 옮긴다.
#   못 봤으면 ⬜ 로 둔다. ⬜ 가 남아 있는 것이 «틀린 🟢» 보다 낫다.

stocks	공공데이터포털 주식시세정보 15094808 (금융위원회)	🟢	데이터-라이선스-대장.md 44줄 「제한 없음」 · 2026-08-05 확인
indices	공공데이터포털 지수시세정보 15094807 (금융위원회)	🟢	데이터-라이선스-대장.md 45줄 「제한 없음」 · 2026-08-05
bonds	공공데이터포털 채권시세정보 15094784 (금융위원회)	🟢	데이터-라이선스-대장.md 47줄 「제한 없음」 · 2026-08-05
funds	공공데이터포털 펀드 표준코드 15094792 (금융위원회)	🟢	데이터-라이선스-대장.md 50줄 「제한 없음」 · 2026-08-05
dart	DART 공시검색 3075133	🟢	데이터-라이선스-대장.md 57줄 공공누리 1유형(출처표시) · 2026-08-05
dart-company	DART 기업개황 15034604	🟢	데이터-라이선스-대장.md 56줄 공공누리 1유형 · 2026-08-05
dart-employment	DART empSttus 직원현황 15060615	🟢	데이터-라이선스-대장.md 54줄 「제한 없음」 · 2026-08-05
dart-executives	DART exctvSttus 임원현황 15060612	🟢	데이터-라이선스-대장.md 55줄 「제한 없음」 · 2026-08-05
dart-issuance	DART irdsSttus 증자(감자) 15060605	🟢	데이터-라이선스-대장.md 52줄 「제한 없음」 · 2026-08-05
dart-corpcode	DART 고유번호 (공시 API 계열)	🟢	위 DART 계열과 같은 공공누리 1유형 · 2026-08-05
dart-ownership	DART 대량보유·임원 소유 (공시 API 계열)	🟢	위 DART 계열과 같은 공공누리 1유형 · 2026-08-05
dart-breaking	DART 당일 공시 (공시 API 계열)	🟢	위 DART 계열과 같은 공공누리 1유형 · 2026-08-05
nps	공공데이터포털 국민연금 가입사업장 15083277	🟢	데이터-라이선스-대장.md 58줄 「제한 없음」 · 2026-08-05
univ	대학알리미 대학 공시 3종	🟢	데이터-라이선스-대장.md 107줄 「제한 없음」 · 2026-08-04 (3번)
alimi	대학알리미 (같은 출처)	🟢	데이터-라이선스-대장.md 107줄 · 2026-08-04 (3번)
